date,S,E,I1,I2,R,beta_pred
2020-05-02,16174955.576111233,92069.25507279529,53673.91894310823,49432.175838558585,3420232.4838477857,0.5036902361230051
2020-05-03,16156637.026311899,87116.43610249911,50826.023713035574,46874.210298912345,3448909.884793267,0.5025859662323927
2020-05-04,16139274.913860535,82457.45942293113,48117.31127457175,44422.92300109182,3476091.1534871575,0.5013080729506904
2020-05-05,16122781.344661547,78101.90302094,45554.72858001448,42083.767886384754,3501842.2039331733,0.4999364357920787
2020-05-06,16107070.197086709,74055.55776104816,43144.041380706025,39862.03100213025,3526232.313426511,0.49934624961785995
2020-05-07,16092058.342964789,70320.24552982605,40889.47987362991,37762.41142003515,3549333.856977874,0.49887726956892275
2020-05-08,16077666.86101459,66893.67969618509,38793.496724444805,35788.68356239596,3571221.813143176,0.49786404957684366
2020-05-09,16063822.167288791,63769.433362185686,36856.60176321862,33943.43641138293,3591973.09154391,0.4971417990821096
2020-05-10,16050457.018215626,60937.0202391286,35077.27426712623,32227.88321912475,3611665.727021276,0.4967422466797891
2020-05-11,16037511.481229277,58381.98198621916,33451.9302569783,30641.73428110523,3630377.981647068,0.49668056346427447
2020-05-12,16024933.732008355,56086.10932937255,31974.93504095008,29183.121529065105,3648187.389330629,0.49695507030735625
2020-05-13,16012680.581014525,54027.84608280731,30638.681340337156,27848.572921119867,3665169.7728196722,0.4982920845982431
2020-05-14,16000717.75011233,52182.82004172602,29433.73462776958,26633.03951706491,3681398.263863074,0.4998444517180663
2020-05-15,15989019.958116392,50524.41328725094,28349.040983270876,25529.975898047654,3696942.359120744,0.5007255313823056
2020-05-16,15977570.777764613,49024.40315590794,27372.178080261612,24531.46789093966,3711867.0435905284,0.5015641371292135
2020-05-17,15966362.190141397,47653.71697172741,26489.65688928148,23628.402847054014,3726232.009524949,0.502226121597196
2020-05-18,15955393.887337746,46383.23230793579,25687.267290207383,22810.680276429262,3740090.9973045206,0.5026101148379459
2020-05-19,15944672.317004135,45184.619825270616,24950.45765743933,22067.458346163614,3753491.282003907,0.5026606117425336
2020-05-20,15934209.48521446,44031.20241042245,24264.742621984995,21387.43205270923,3766473.325477082,0.5031342041987704
2020-05-21,15924021.535233416,42898.812322664744,23616.128263340954,20759.137918581786,3779070.610570411,0.5032987274465458
2020-05-22,15914126.992752863,41766.74830994439,22991.554639824706,20171.27952001126,3791309.670773021,0.5024410038053347
2020-05-23,15904544.749434017,40618.737551135615,22379.366218003477,19613.074257762688,3803210.3275119965,0.5013951172208084
2020-05-24,15895292.091715215,39443.6345435778,21769.76621812086,19074.614283871335,3814786.1470866394,0.5002556800387611
2020-05-25,15886382.986105816,38235.73585126771,21155.189261077918,18547.21572781921,3826045.118599017,0.49914363414251794
2020-05-26,15877826.758892747,36994.67934778239,20530.540512445496,18023.721320063993,3836990.533050852,0.4981905124463136
2020-05-27,15869627.37464258,35724.83728600816,19893.263551997694,17498.723186592208,3847622.0208460526,0.4982230051366523
2020-05-28,15861783.322501259,34434.32234070223,19243.20456833849,16968.673619710902,3857936.684287045,0.49853408223019335
2020-05-29,15854287.922162464,33133.85869939959,18582.304834465667,16431.867096483722,3867930.245880897,0.49834603190554305
2020-05-30,15847129.93013156,31835.65379897986,17914.1774392337,15888.300775642732,3877598.133032566,0.4983188079189669
2020-05-31,15840294.300426554,30552.398667854515,17243.628995357354,15339.437345160028,3886936.4324395764,0.498404900343874
2020-06-01,15833762.978291156,29296.47137007543,16576.185522999065,14787.904585097183,3895942.6675293976,0.4985998903196998
2020-06-02,15827515.69681948,28079.320188585785,15917.662700918547,14237.168300464382,3904616.3755211243,0.49892950215559834
2020-06-03,15821530.827322504,26910.938695896002,15273.791365350866,13691.20763505149,3912959.481214504,0.5001307634147829
2020-06-04,15815786.29725471,25799.40206027455,14649.889557644552,13154.208382579322,3920976.4774480527,0.5014867996517589
2020-06-05,15810260.48785886,24750.5282228986,14050.582432264307,12630.281837002687,3928674.427594053,0.5021973269965284
2020-06-06,15804932.98515532,23767.74588086578,13479.5868420964,12123.217641512561,3936062.809258565,0.5028427724754109
2020-06-07,15799785.081804948,22852.21078180994,12939.583418638696,11636.283130683649,3943153.2248240444,0.5033175147363106
2020-06-08,15794800.003447171,22003.135497740695,12432.18959893253,11172.082635172443,3949959.013122325,0.5035842983859289
2020-06-09,15789962.90211861,21218.245149153598,11958.028494206017,10732.485422986783,3956494.8035714803,0.5036892119327989
2020-06-10,15785260.713325825,20494.244141687006,11516.869330221638,10318.621806228832,3962776.0558620305,0.5044089319773
2020-06-11,15780681.982529825,19827.199782615968,11107.801358021015,9930.93580473291,3968818.623285183,0.5051746638400116
2020-06-12,15776216.717160182,19212.81423561677,10729.406142163272,9569.274728609555,3974638.366873758,0.5053595520031875
2020-06-13,15771856.283296965,18646.594553888295,10379.90622883273,9232.994876085577,3980250.834289135,0.5056475888820618
2020-06-14,15767593.332143262,18123.958665188446,10057.281743661608,8921.066566841815,3985671.005707117,0.5060456815079137
2020-06-15,15763421.726053698,17640.318199317247,9759.359491877409,8632.168834575394,3990913.1011488545,0.5065658815721076
2020-06-16,15759336.45010016,17191.155830345495,9483.882641978114,8364.770787261095,3995990.440515015,0.5072250046684212
2020-06-17,15755333.504122028,16772.10291280956,9228.568125252621,8117.200420392801,4000915.347677401,0.5086681211073668
2020-06-18,15751409.774052937,16379.018006217957,8991.157081905692,7887.703215443077,4005699.0915771653,0.5102410361980497
2020-06-19,15747562.897735689,16008.051837811287,8769.460348729986,7674.493045424154,4010351.859042097,0.5111980741274424
2020-06-20,15743791.144329442,15655.68539864901,8561.396268810653,7475.79649692765,4014882.7551387423,0.5120311891500446
2020-06-21,15740093.314251512,15318.741147122535,8365.018401117939,7289.890202404105,4019299.8269711705,0.5126418841780566
2020-06-22,15736468.664578568,14994.369218090123,8178.53174714793,7115.130232075488,4023610.106437708,0.5130011257070373
2020-06-23,15732916.856968379,14680.017289931067,8000.297591493671,6949.972701623066,4027819.6669829115,0.5131461500945592
2020-06-24,15729437.91663825,14373.39814782343,7828.829530299317,6792.9856369576055,4031933.6891568024,0.5137348594186967
2020-06-25,15726032.189490555,14072.466848461749,7662.785051595367,6642.853457356159,4035956.5302604632,0.5142389357603853
2020-06-26,15722700.291220019,13775.410361280852,7500.957029231956,6498.376491048442,4039891.794589546,0.5140343624428624
2020-06-27,15719443.059703507,13480.636385494325,7342.2666169135455,6358.46791503682,4043742.4023907776,0.5136201295812559
2020-06-28,15716261.518236075,13186.755359060491,7185.75571359969,6222.14917556832,4047510.6567299673,0.5129478011195412
2020-06-29,15713156.833736839,12892.571194659726,7030.579575871068,6088.544303016248,4051198.3076275755,0.5120345883476282
2020-06-30,15710130.26783296,12597.079593428289,6876.002034658796,5956.874237149758,4054806.613119705,0.5109875563829083
2020-07-01,15707183.134374121,12299.460730468872,6721.391901042812,5826.451894805288,4058336.3975823955,0.5104900691921909
2020-07-02,15704316.757844515,11999.073209594124,6566.219094478021,5696.677768005142,4061788.1076414264,0.5101907179488289
2020-07-03,15701532.431852646,11695.448994302662,6410.051472932863,5567.036159435784,4065161.8656843426,0.5096830772038374
2020-07-04,15698831.384909865,11388.282999147474,6252.5513333158415,5437.092073638762,4068457.5210979646,0.509562873616935
2020-07-05,15696214.746003423,11077.425400710512,6093.471334886711,5306.488335201111,4071674.6993448245,0.5098865731609156
2020-07-06,15693683.501171239,10762.883664154397,5932.651545209815,5174.942984961967,4074812.848922925,0.5106816728407257
2020-07-07,15691238.438825391,10444.833923593585,5770.019221670014,5042.247607460811,4077871.2865567687,0.5119953182827109
2020-07-08,15688880.07769452,10123.645192786373,5605.592371957471,4908.267342921631,4080849.241478843,0.5143007242043746
2020-07-09,15686608.577172952,9799.913246056092,5439.488220408919,4772.943455994868,4083745.900167949,0.5170733137316321
